"Compte des ménages, données trimestrielles désaisonnalisées au taux annuel, Québec (24 mars 2022)"
"Élément statistique";"1er niveau de détail";"Temps";"Unité de mesure";"Valeur numérique"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"2e trim. 2019";"M$";"4006"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"3e trim. 2019";"M$";"4088"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"4e trim. 2019";"M$";"4170"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"1er trim. 2020";"M$";"4161"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"2e trim. 2020";"M$";"3809"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"3e trim. 2020";"M$";"4108"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"4e trim. 2020";"M$";"4230"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"1er trim. 2021";"M$";"4354"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"2e trim. 2021";"M$";"4409"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"3e trim. 2021";"M$";"4553"
"Compte des ménages";"..Aux institutions sans but lucratif au service des ménages";"4e trim. 2021";"M$";"4664"
"Compte des ménages";"..Aux non-résidents";"1er trim. 2019";"M$";"1684"
"Compte des ménages";"..Aux non-résidents";"2e trim. 2019";"M$";"1690"
"Compte des ménages";"..Aux non-résidents";"3e trim. 2019";"M$";"1689"
"Compte des ménages";"..Aux non-résidents";"4e trim. 2019";"M$";"1697"
"Compte des ménages";"..Aux non-résidents";"1er trim. 2020";"M$";"1688"
"Compte des ménages";"..Aux non-résidents";"2e trim. 2020";"M$";"1661"
"Compte des ménages";"..Aux non-résidents";"3e trim. 2020";"M$";"1664"
"Compte des ménages";"..Aux non-résidents";"4e trim. 2020";"M$";"1655"
"Compte des ménages";"..Aux non-résidents";"1er trim. 2021";"M$";"1455"
"Compte des ménages";"..Aux non-résidents";"2e trim. 2021";"M$";"1432"
"Compte des ménages";"..Aux non-résidents";"3e trim. 2021";"M$";"1456"
"Compte des ménages";"..Aux non-résidents";"4e trim. 2021";"M$";"1481"
"Compte des ménages";"Égale : Revenu disponible des ménages";"1er trim. 2019";"M$";"254681"
"Compte des ménages";"Égale : Revenu disponible des ménages";"2e trim. 2019";"M$";"258467"
"Compte des ménages";"Égale : Revenu disponible des ménages";"3e trim. 2019";"M$";"261015"
"Compte des ménages";"Égale : Revenu disponible des ménages";"4e trim. 2019";"M$";"266365"
"Compte des ménages";"Égale : Revenu disponible des ménages";"1er trim. 2020";"M$";"268078"
"Compte des ménages";"Égale : Revenu disponible des ménages";"2e trim. 2020";"M$";"296215"
"Compte des ménages";"Égale : Revenu disponible des ménages";"3e trim. 2020";"M$";"284887"
"Compte des ménages";"Égale : Revenu disponible des ménages";"4e trim. 2020";"M$";"286352"
"Compte des ménages";"Égale : Revenu disponible des ménages";"1er trim. 2021";"M$";"285409"
"Compte des ménages";"Égale : Revenu disponible des ménages";"2e trim. 2021";"M$";"308010"
"Compte des ménages";"Égale : Revenu disponible des ménages";"3e trim. 2021";"M$";"309289"
"Compte des ménages";"Égale : Revenu disponible des ménages";"4e trim. 2021";"M$";"301216"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"1er trim. 2019";"M$";"258981"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"2e trim. 2019";"M$";"261766"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"3e trim. 2019";"M$";"262803"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"4e trim. 2019";"M$";"264718"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"1er trim. 2020";"M$";"255135"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"2e trim. 2020";"M$";"221319"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"3e trim. 2020";"M$";"257226"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"4e trim. 2020";"M$";"256820"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"1er trim. 2021";"M$";"259428"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"2e trim. 2021";"M$";"264933"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"3e trim. 2021";"M$";"278012"
"Compte des ménages";"Moins : dépenses de consommation finale des ménages";"4e trim. 2021";"M$";"281019"
"Compte des ménages";"Plus : Variation des droits à pension";"1er trim. 2019";"M$";"19255"
"Compte des ménages";"Plus : Variation des droits à pension";"2e trim. 2019";"M$";"19658"
"Compte des ménages";"Plus : Variation des droits à pension";"3e trim. 2019";"M$";"20313"
"Compte des ménages";"Plus : Variation des droits à pension";"4e trim. 2019";"M$";"21234"
"Compte des ménages";"Plus : Variation des droits à pension";"1er trim. 2020";"M$";"20882"
"Compte des ménages";"Plus : Variation des droits à pension";"2e trim. 2020";"M$";"15300"
"Compte des ménages";"Plus : Variation des droits à pension";"3e trim. 2020";"M$";"20355"
"Compte des ménages";"Plus : Variation des droits à pension";"4e trim. 2020";"M$";"18607"
"Compte des ménages";"Plus : Variation des droits à pension";"1er trim. 2021";"M$";"20993"
"Compte des ménages";"Plus : Variation des droits à pension";"2e trim. 2021";"M$";"21985"
"Compte des ménages";"Plus : Variation des droits à pension";"3e trim. 2021";"M$";"23013"
"Compte des ménages";"Plus : Variation des droits à pension";"4e trim. 2021";"M$";"22933"
"Compte des ménages";"Égale : épargne nette des ménages";"1er trim. 2019";"M$";"14955"
"Compte des ménages";"Égale : épargne nette des ménages";"2e trim. 2019";"M$";"16359"
"Compte des ménages";"Égale : épargne nette des ménages";"3e trim. 2019";"M$";"18525"
"Compte des ménages";"Égale : épargne nette des ménages";"4e trim. 2019";"M$";"22881"
"Compte des ménages";"Égale : épargne nette des ménages";"1er trim. 2020";"M$";"33825"
"Compte des ménages";"Égale : épargne nette des ménages";"2e trim. 2020";"M$";"90196"
"Compte des ménages";"Égale : épargne nette des ménages";"3e trim. 2020";"M$";"48016"
"Compte des ménages";"Égale : épargne nette des ménages";"4e trim. 2020";"M$";"48139"
"Compte des ménages";"Égale : épargne nette des ménages";"1er trim. 2021";"M$";"46974"
"Compte des ménages";"Égale : épargne nette des ménages";"2e trim. 2021";"M$";"65062"
"Compte des ménages";"Égale : épargne nette des ménages";"3e trim. 2021";"M$";"54290"
"Compte des ménages";"Égale : épargne nette des ménages";"4e trim. 2021";"M$";"43130"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"1er trim. 2019";"%";"5,9"
