Élément statistique;1er niveau de détail;Temps;Unité de mesure;Valeur numérique;Note
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;nov-20;M$ enchaînés de 2012;102325.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;déc-20;M$ enchaînés de 2012;103246;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;janv-21;M$ enchaînés de 2012;104273.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;févr-21;M$ enchaînés de 2012;102982.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mars-21;M$ enchaînés de 2012;104137.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;avr-21;M$ enchaînés de 2012;102340.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mai-21;M$ enchaînés de 2012;101816.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juin-21;M$ enchaînés de 2012;102328.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juil-21;M$ enchaînés de 2012;102089.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;août-21;M$ enchaînés de 2012;104196.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;sept-21;M$ enchaînés de 2012;102688.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;oct-21;M$ enchaînés de 2012;103095.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;nov-21;M$ enchaînés de 2012;104892;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);janv-17;M$ enchaînés de 2012;67741.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);févr-17;M$ enchaînés de 2012;67432.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mars-17;M$ enchaînés de 2012;68502;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);avr-17;M$ enchaînés de 2012;68888.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mai-17;M$ enchaînés de 2012;68796.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juin-17;M$ enchaînés de 2012;68140.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juil-17;M$ enchaînés de 2012;70520;
